Title,Year,Runtime,Genre,IMDB Rating,Grosses,Action,Adventure,Fantasy,Drama,Romance,Sci-Fi,Animation,Crime,Thriller,Comedy,Family,Biography,Music,History,Mystery,Horror,Musical,War,Western,Sport,Documentary
The Twilight Saga: Breaking Dawn - Part 1,(2011),117,"['Adventure', 'Drama', 'Fantasy']",4.9,712205856,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Twilight Saga: New Moon,(2009),130,"['Adventure', 'Drama', 'Fantasy']",4.7,711025481,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Dawn of the Planet of the Apes,(2014),130,"['Action', 'Adventure', 'Drama']",7.6,710644566,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Transformers,(2007),144,"['Action', 'Adventure', 'Sci-Fi']",7,709709780,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Amazing Spider-Man 2,(2014),142,"['Action', 'Adventure', 'Sci-Fi']",6.6,708982323,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

It,(I) (2017),135,['Horror'],7.3,701842551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0

Liu lang di qiu,(2019),125,"['Action', 'Adventure', 'Sci-Fi']",5.9,699992512,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Twilight Saga: Eclipse,(2010),124,"['Action', 'Adventure', 'Drama']",5,698509825,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Mission: Impossible - Ghost Protocol,(2011),132,"['Action', 'Adventure', 'Thriller']",7.4,694713380,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Mamma Mia!,(2008),108,"['Comedy', 'Musical', 'Romance']",6.5,694476782,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0

The Hunger Games,(2012),142,"['Action', 'Adventure', 'Sci-Fi']",7.2,694394724,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Tang ren jie tan an 3,(2021),136,"['Action', 'Adventure', 'Comedy']",5.6,686257563,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Mission: Impossible - Rogue Nation,(2015),131,"['Action', 'Adventure', 'Thriller']",7.4,682716636,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

